code,name,asof,close,prev_month_end_close,mtd_pct,turnover,volume,vol5,vol_ratio,amount,amount_yi
002202,金风科技,2026-08-11,19.92,18.39,8.32,6.74,2266539,1845270,1.228,4545158400,45.45
000100,TCL科技,2026-08-11,5.0,4.73,5.71,4.27,8585715,6334382,1.355,4300172200,43.0
002580,圣阳股份,2026-08-11,20.97,19.47,7.7,30.52,1380717,963051,1.434,2965166300,29.65
603881,数据港,2026-08-11,26.28,24.28,8.24,9.5,818742,502249,1.63,2167538700,21.68
002129,TCL中环,2026-08-11,9.29,8.83,5.21,4.95,2000992,1222258,1.637,1854232600,18.54
002317,众生药业,2026-08-11,28.43,26.22,8.43,7.11,541733,433276,1.25,1556039200,15.56
600578,京能电力,2026-08-11,6.12,5.76,6.25,3.67,2454680,1487316,1.65,1496702300,14.97
001399,惠科股份,2026-08-11,24.05,22.72,5.85,13.53,582548,454376,1.282,1427991700,14.28
603619,中曼石油,2026-08-11,23.34,21.74,7.36,12.1,559243,420361,1.33,1305650400,13.06
002044,美年健康,2026-08-11,5.06,4.78,5.86,6.27,2430872,1474422,1.649,1246908400,12.47
300214,日科化学,2026-08-11,13.01,11.69,11.29,19.48,905443,607450,1.491,1213952400,12.14
300766,每日互动,2026-08-11,24.93,23.64,5.46,13.44,481242,377398,1.275,1206041700,12.06
600490,鹏欣资源,2026-08-11,7.39,6.64,11.3,7.65,1523991,839144,1.816,1172581100,11.73
600126,杭钢股份,2026-08-11,7.37,6.55,12.52,4.64,1566445,1174348,1.334,1115980100,11.16
600863,华能蒙电,2026-08-11,5.18,4.93,5.07,3.35,2184321,1288328,1.695,1102493100,11.02
002056,横店东磁,2026-08-11,22.64,20.79,8.9,2.88,467683,375437,1.246,1054585800,10.55
000537,绿发电力,2026-08-11,8.77,7.76,13.02,5.88,1208290,480319,2.516,1038163900,10.38
000973,佛塑科技,2026-08-11,13.71,12.07,13.59,7.59,734507,525534,1.398,1000422100,10.0
601101,昊华能源,2026-08-11,12.49,11.78,6.03,5.22,751272,565347,1.329,962969200,9.63
600326,西藏天路,2026-08-11,7.83,6.94,12.82,8.62,1173995,952049,1.233,930021100,9.3
600227,赤天化,2026-08-11,3.58,3.27,9.48,18.72,2391511,1754179,1.363,865432900,8.65
002229,鸿博股份,2026-08-11,11.74,10.3,13.98,14.84,731927,410206,1.784,840333600,8.4
000880,潍柴重机,2026-08-11,24.63,21.71,13.45,14.96,339590,150579,2.255,840204200,8.4
002490,山东墨龙,2026-08-11,8.23,7.47,10.17,18.19,985512,572385,1.722,804951300,8.05
603939,益丰药房,2026-08-11,24.64,22.73,8.4,2.65,321193,185794,1.729,801657100,8.02
603162,海通发展,2026-08-11,11.89,10.88,9.28,15.29,645672,483944,1.334,787393400,7.87
600518,康美药业,2026-08-11,1.43,1.36,5.15,3.66,5057920,2267312,2.231,720909500,7.21
600316,洪都航空,2026-08-11,28.29,25.11,12.66,3.52,252668,171218,1.476,715926400,7.16
000837,秦川机床,2026-08-11,10.88,9.68,12.4,6.22,626253,308517,2.03,674984700,6.75
003010,若羽臣,2026-08-11,29.26,26.65,9.79,9.79,221377,138367,1.6,642475600,6.42
600698,湖南天雁,2026-08-11,7.35,6.54,12.39,10.51,872855,373354,2.338,636189400,6.36
300317,珈伟新能,2026-08-11,4.85,4.57,6.13,15.79,1309241,1058605,1.237,634794600,6.35
601619,嘉泽新能,2026-08-11,4.93,4.63,6.48,5.33,1297788,548423,2.366,629942000,6.3
002246,北化股份,2026-08-11,22.47,19.72,13.95,5.2,285743,177730,1.608,622488800,6.22
300634,彩讯股份,2026-08-11,21.17,20.16,5.01,6.69,290512,161469,1.799,619830000,6.2
001330,博纳影业,2026-08-11,5.38,4.87,10.47,9.84,1144073,785416,1.457,614494900,6.14
300528,幸福蓝海,2026-08-11,15.03,13.51,11.25,10.89,405612,265834,1.526,613690500,6.14
001376,百通能源,2026-08-11,12.09,11.29,7.09,23.09,494261,256990,1.923,611659300,6.12
300062,中能电气,2026-08-11,7.2,6.54,10.09,18.29,838497,616924,1.359,600457900,6.0
000656,金科股份,2026-08-11,1.3,1.21,7.44,5.99,4548451,2431876,1.87,596972000,5.97
002300,太阳电缆,2026-08-11,7.61,6.97,9.18,10.22,738299,539315,1.369,566325300,5.66
002727,一心堂,2026-08-11,12.67,11.67,8.57,11.11,436343,170009,2.567,554356800,5.54
002455,百川股份,2026-08-11,7.28,6.46,12.69,11.27,744759,611061,1.219,547671900,5.48
002647,仁东控股,2026-08-11,10.75,9.71,10.71,5.01,508241,336306,1.511,545944100,5.46
002350,北京科锐,2026-08-11,15.01,13.95,7.6,6.51,345571,223523,1.546,527997600,5.28
